semilla;corte;ganancia;metrica;modelo
959869;10500;55,687;55,687;sin FE
959869;11000;55,487;55,487;sin FE
959869;11500;55,577;55,577;sin FE
959869;12000;56,447;56,447;sin FE
959869;12500;57,047;57,047;sin FE
959869;13000;59,327;59,327;sin FE
555391;9000;56,207;56,207;sin FE
555391;9500;55,747;55,747;sin FE
555391;10000;55,227;55,227;sin FE
555391;10500;55,747;55,747;sin FE
555391;11000;55,917;55,917;sin FE
555391;11500;57,807;57,807;sin FE
555391;12000;57,907;57,907;sin FE
555391;12500;58,907;58,907;sin FE
555391;13000;57,827;57,827;sin FE
151903;9000;55,207;55,207;sin FE
151903;9500;54,997;54,997;sin FE
151903;10000;56,577;56,577;sin FE
151903;10500;57,427;57,427;sin FE
151903;11000;56,797;56,797;sin FE
151903;11500;56,887;56,887;sin FE
151903;12000;57,707;57,707;sin FE
151903;12500;57,107;57,107;sin FE
151903;13000;58,037;58,037;sin FE
153287;9000;56,787;56,787;sin FE
153287;9500;57,677;57,677;sin FE
153287;10000;58,407;58,407;sin FE
153287;10500;57,737;57,737;sin FE
153287;11000;57,717;57,717;sin FE
153287;11500;58,077;58,077;sin FE
153287;12000;58,447;58,447;sin FE
153287;12500;57,867;57,867;sin FE
153287;13000;58,077;58,077;sin FE
471391;9000;56,367;56,367;sin FE
471391;9500;56,387;56,387;sin FE
471391;10000;56,467;56,467;sin FE
471391;10500;57,517;57,517;sin FE
471391;11000;57,037;57,037;sin FE
471391;11500;56,987;56,987;sin FE
471391;12000;57,947;57,947;sin FE
471391;12500;57,627;57,627;sin FE
471391;13000;58,347;58,347;sin FE
446969;9000;56,617;56,617;sin FE
446969;9500;56,677;56,677;sin FE
446969;10000;56,367;56,367;sin FE
446969;10500;57,737;57,737;sin FE
446969;11000;57,807;57,807;sin FE
446969;11500;58,407;58,407;sin FE
446969;12000;57,827;57,827;sin FE
446969;12500;57,107;57,107;sin FE
446969;13000;56,857;56,857;sin FE
319049;9000;55,987;55,987;sin FE
319049;9500;57,327;57,327;sin FE
319049;10000;56,777;56,777;sin FE
319049;10500;57,277;57,277;sin FE
319049;11000;56,667;56,667;sin FE
319049;11500;56,407;56,407;sin FE
319049;12000;56,917;56,917;sin FE
319049;12500;57,727;57,727;sin FE
319049;13000;57,837;57,837;sin FE
723791;9000;57,537;57,537;sin FE
723791;9500;57,587;57,587;sin FE
723791;10000;57,667;57,667;sin FE
723791;10500;58,017;58,017;sin FE
723791;11000;58,047;58,047;sin FE
723791;11500;58,257;58,257;sin FE
723791;12000;57,927;57,927;sin FE
723791;12500;58,927;58,927;sin FE
723791;13000;58,667;58,667;sin FE
282001;9000;54,237;54,237;sin FE
